"""190755"",",Glencore plc,Materials,Diversified Metals & Mining,Metals & Mining,-0.115197637,,,
"""205465"",",Gold Fields Limited,Materials,Gold,Metals & Mining,0.088880682,,,
"""204023"",",Gold Resource Corporation,Materials,Gold,Metals & Mining,0.3338,,,
"""244581"",",Gold Royalty Corp,Materials,Precious Metals & Minerals,Metals & Mining,0.3098763157894736,,,
"""206527"",",Golden Minerals Company,Materials,Precious Metals & Minerals,Metals & Mining,-0.117225,,,
"""204130"",",Golden Star Resources Ltd,Materials,Gold,Metals & Mining,0.1003019607843137,,,
"""191321"",",Graphic Packaging Holding Company,Materials,Paper Packaging,Containers & Packaging,0.3312280683403069,,,
"""192379"",",Greatview Aseptic Packaging Company Limited,Materials,Paper Packaging,Containers & Packaging,0.1367,,,
"""190879"",","Greif, Inc",Materials,Metal & Glass Containers,Containers & Packaging,0.4918080716586144,,,
"""194854"",","Grupo Simec, S.A.B. de C.V",Materials,Steel,Metals & Mining,-0.093985,,,
"""242879"",",Gulf Resources Inc,Materials,Commodity Chemicals,Chemicals,0,,,
"""205442"",",H.B. Fuller Company,Materials,Specialty Chemicals,Chemicals,0.3422558558558558,,,
"""191486"",",Harmony Gold Mining Company Limited,Materials,Gold,Metals & Mining,0.6597,,,
"""204452"",","Hawkins, Inc",Materials,Commodity Chemicals,Chemicals,0.3095143849206351,,,
"""243641"",",Haynes International Inc,Materials,Steel,Metals & Mining,-0.75045,,,
"""203858"",",Hecla Mining Company,Materials,Silver,Metals & Mining,-0.354045238,,,
"""193430"",",Henan Jinma Energy Company Limited,Materials,Steel,Metals & Mining,0,,,
"""194064"",",Hod Assaf Industries Ltd,Materials,Steel,Metals & Mining,0,,,
"""192232"",",Huabao International Holdings Limited,Materials,Specialty Chemicals,Chemicals,0.6124,,,
"""196000"",",Huhtamaki Oyj,Materials,Paper Packaging,Containers & Packaging,0.3922013447529968,,,
"""204391"",",Huntsman Corporation,Materials,Diversified Chemicals,Chemicals,0.2708460199004974,,,
"""243688"",",Hycroft Mining Holding Corporation,Materials,Gold,Metals & Mining,-0.08954375,,,
"""194060"",",ICL Group Ltd,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0.4739010742296916,,,
"""202406"",",Indorama Ventures Public Company Limited,Materials,Commodity Chemicals,Chemicals,0.3655459770114942,,,
"""206642"",",Ingevity Corporation,Materials,Specialty Chemicals,Chemicals,0.4607875724637682,,,
"""206404"",",Innospec Inc,Materials,Specialty Chemicals,Chemicals,0.8002,,,
"""189956"",",International Flavors & Fragrances Inc,Materials,Specialty Chemicals,Chemicals,0.2793315366721398,,,
"""190398"",",International Paper Company,Materials,Paper Packaging,Containers & Packaging,0.2597199306648932,,,
"""245305"",",Intrepid Potash Inc,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0.5106,,,
"""194047"",",Israel Corporation Ltd,Materials,Fertilizers & Agricultural Chemicals,Chemicals,0,,,
"""206013"",",Ivanhoe Mines Ltd,Materials,Diversified Metals & Mining,Metals & Mining,0.3172125,,,
"""202022"",",JSR Corporation,Materials,Specialty Chemicals,Chemicals,0.2007083333333333,,,
"""246349"",",James Hardie Industries PLC,Materials,Construction Materials,Construction Materials,0,,,
"""190539"",",James Hardie Industries plc,Materials,Construction Materials,Construction Materials,-0.129633088,,,
"""192420"",",Jiangxi Copper Company Limited,Materials,Copper,Metals & Mining,0.8074,,,
"""193661"",",Jinchuan Group International Resources Co. Ltd,Materials,Copper,Metals & Mining,0,,,
"""196636"",",Johnson Matthey Plc,Materials,Specialty Chemicals,Chemicals,0.5263005555555555,,,
"""194019"",",Kafrit Industries (1993) Ltd,Materials,Commodity Chemicals,Chemicals,0,,,
"""190726"",",Kaiser Aluminum Corporation,Materials,Aluminum,Metals & Mining,0.6339632653061221,,,
"""195995"",",Kemira Oyj,Materials,Diversified Chemicals,Chemicals,0.4801079166666665,,,
"""206223"",",Kinross Gold Corporation,Materials,Gold,Metals & Mining,0.23927655,,,
"""206147"",",Koppers Holdings Inc,Materials,Commodity Chemicals,Chemicals,0.2384320143884892,,,
"""206107"",",Kraton Corporation,Materials,Specialty Chemicals,Chemicals,0.102479929,,,
"""206183"",","Kronos Worldwide, Inc",Materials,Commodity Chemicals,Chemicals,-0.235395,,,
"""204334"",",L'Air Liquide S.A,Materials,Industrial Gases,Chemicals,0.5183,,,
"""207076"",","LSB Industries, Inc",Materials,Diversified Chemicals,Chemicals,0.4559666666666667,,,
"""193636"",",Lee and Man Paper Manufacturing Limited,Materials,Paper Products,Paper & Forest Products,0,,,
"""245995"",",Lightwave Logic Inc,Materials,Specialty Chemicals,Chemicals,0.7948597222222222,,,
"""207317"",",Linde plc,Materials,Industrial Gases,Chemicals,0.3730567818873811,,,
"""245347"",",Livent Corp,Materials,Specialty Chemicals,Chemicals,0,,,
